id,Name,ReleaseDate,Director,Creator
city_of_missing_girlstt0054215,AgneepathCity of Missing GirlsPsycho,"26-Jan-12Mar 27, 1941 Wide8 September 1960 (USA)",Karan MalhotraElmer CliftonAlfred Hitchcock,"Karan Johar,Hiroo JoharOliver Drake,George RosenerJoseph Stefano,Robert Bloch"
gay_divorceett0088993,Bittoo BossThe Gay DivorceeDay of the Dead,"13-Apr-12Oct 12, 1934 Limited19 July 1985 (USA)",Supavitra BabulMark SandrichGeorge A. Romero,"Abhishek Pathak,Kumar MangatJ. Hartley Manners,George Marion,Dorothy Yost,Edward Kaufman,Dwight TaylorGeorge A. Romero"
divorceett0032484,Housefull 2The DivorcéeForeign Correspondent,"06-Apr-12Apr 19, 1930 Wide16 August 1940 (USA)",Sajid KhanRobert Z. LeonardAlfred Hitchcock,"Sajid NadiadwalaUrsula Parrott,John Meehan,John Meehan, Jr.,John Meehan,Nick GrindeCharles Bennett,Joan Harrison"
1009470-hells_angels_on_wheelstt0889671,SinghamHells Angels on WheelsTrumbo,"22-Jul-11Jan 1, 1967 Wide27 June 2008 (USA)",Rohit ShettyRichard RushPeter Askin,"Robert Wright CampbellChristopher Trumbo,Christopher Trumbo"
the-miracle-woman-1932tt1325014,Golmaal 3The Miracle WomanThe People vs. George Lucas,"05-Nov-10Jan 1, 1985 Wide29 August 2011 (USA)",Rohit ShettyKetan MehtaAlexandre O. Philippe,"Dillion MehtaShafi Hakim,Hriday LaniAlexandre O. Philippe"
trader_horneett0065112,KahaaniTrader HorneeTopaz,"09-Mar-12Dec 31, 1970 Wide19 December 1969 (USA)","Sujoy GhoshJonathan Lucas,Tsanusdi,Don TsanusdiAlfred Hitchcock","Sujoy Ghosh,Kushal GadaDavid F. FriedmanLeon Uris,Samuel A. Taylor"
miracle_womantt0074512,Ek Main Aur Ekk TuThe Miracle WomanFamily Plot,"10-Feb-12Jul 20, 1931 Wide9 April 1976 (USA)",Shakun BatraFrank CapraAlfred Hitchcock,"Karan Johar,Hiroo JoharJo Swerling,Dorothy HowellErnest Lehman,Victor Canning"
1006206-dr_jekyll_and_mr_hydett0092796,PlayersDr. Jekyll and Mr. HydeCreepshow 2,"06-Jan-12Mar 18, 1920 Wide1 May 1987 (USA)",Abbas - MustanJohn S. RobertsonMichael Gornick,"Clara Beranger,Clara S. BerangerStephen King,George A. Romero"
1006207-dr_jekyll_and_mr_hydett0090021,Vicky DonorDr. Jekyll and Mr. HydeSilver Bullet,"20-Apr-12Dec 31, 1931 Limited11 October 1985 (USA)",Shoojit SircarRouben MamoulianDaniel Attias,"John Abraham,Sunil Lulla,Ronnie LahiriRobert Louis Stevenson,Percy Heath,Samuel HoffensteinStephen King,Stephen King"
animal_crackerstt0102733,Hate StoryAnimal CrackersPyrates,"20-Apr-12Aug 28, 1930 Limited5 March 1992 (Germany)",Vivek AgnihotriVictor HeermanNoah Stern,"George S. Kaufman,Morrie Ryskind,Morris RyskindNoah Stern"
1006208-dr_jekyll_and_mr_hydett0102741,Hum Aapke Hain Koun..!Dr. Jekyll and Mr. HydeQueens Logic,"05-Aug-94Aug 12, 1941 Wide1 February 1991 (USA)","Sooraj BarjatyaRouben Mamoulian,Victor FlemingSteve Rash","Rajkumar Barjatya,Kamal Kumar Barjatya,Ajit Kumar BarjatyaJohn Lee MahinTony Spiridakis,Joseph W. Savino"
trader_horntt1045642,Tere Naal Love Ho GayaTrader HornTales from the Script,"24-Feb-12May 23, 1931 Wide10 January 2009 (USA)",Mandeep KumarW.S. Van DykePeter Hanson,"Renu Taurani,Kumar S. TauraniE. Richard Schayer,Cyril Hume,Dale Van Every,John T. Neville,Richard SchayerPeter Hanson,Paul Robert Herman"
big_mommas_housett0265666,Jodi BreakersBig Momma's HouseThe Royal Tenenbaums,"24-Feb-12Jun 2, 2000 Wide4 January 2002 (USA)",Ashwini ChaudharyRaja GosnellWes Anderson,"Rajesh RajilalDarryl Quarles,Don RhymerWes Anderson,Owen Wilson"
frankenstein_2015tt0440963,Paan Singh TomarVictor FrankensteinThe Bourne Ultimatum,"02-Mar-12Nov 25, 2015 Wide3 August 2007 (USA)",Tigmanshu DhuliaPaul McGuiganPaul Greengrass,"Ronnie ScrewvalaMax Landis,Mary ShelleyTony Gilroy,Scott Z. Burns"
1007818-frankensteintt0103772,Agent VinodFrankensteinBasic Instinct,"23-Mar-12Nov 21, 1931 Wide20 March 1992 (USA)",Sriram RaghavanJames WhalePaul Verhoeven,"Saif Ali Khan,Dinesh VijanFrancis Edward Faragoh,Garrett Fort,John L. Balderston,Garrett Elsden Fort,Francis Edwards FaragohJoe Eszterhas"
big_housett0250797,London Paris New YorkThe Big HouseUnfaithful,"02-Mar-12May 14, 1930 Wide10 May 2002 (USA)","Anu MenonGeorge Hill,George W. HillAdrian Lyne","Goldie Behl,KoyalFrances Marion,Martin Flavin,Joseph Farnham,Lennox RobinsonClaude Chabrol,Alvin Sargent"
tcm_presents_draculatt0325703,Ekk Deewana ThaTcm Presents DraculaLara Croft Tomb Raider: The Cradle of Life,"17-Feb-12Oct 28, 2015 Limited25 July 2003 (USA)",Gautham MenonTod BrowningJan de Bont,"Gautham MenonBram Stoker,Hamilton DeaneDean Georgaris,Steven E. de Souza"
1154157-big_mommas_house_2tt0120616,Jannat 2Big Momma's House 2The Mummy,"04-May-12Jan 27, 2006 Wide7 May 1999 (USA)","Kunal DeshmukhJohn P. Whitesell,Elton LeBlanc,Emily Procter,Emily Proctor,Kat Dennings,Marisol Nichols,Mark Moses,Martin Lawrence,Michelle Parylak,Nia Long,Sarah Brown,Stacy Keibler,John WhitesellStephen Sommers","Mukesh Bhatt,Mahesh BhattDon RhymerStephen Sommers,Lloyd Fonvielle"
1038237-platinum_blondett0320691,TezzPlatinum BlondeUnderworld,"27-Apr-12Oct 31, 1931 Limited19 September 2003 (USA)",PriyadarshanFrank CapraLen Wiseman,"Ratan JainHarry Chandlee,Douglas W. Churchill,Robert Riskin,Jo Swerling,Dorothy HowellKevin Grevioux,Len Wiseman"
1006236-draculatt0401855,Blood MoneyDraculaUnderworld: Evolution,"30-Mar-12Jul 20, 1979 Wide20 January 2006 (USA)",Vishal MahadkarJohn BadhamLen Wiseman,"Mahesh BhattBram Stoker,Hamilton Deane,W.D. RichterDanny McBride,Len Wiseman"
hells_angelstt1323594,Chaar Din Ki ChandniHell's AngelsDespicable Me,"09-Mar-12Nov 15, 1930 Limited9 July 2010 (USA)","Samir KarnikEdmund Goulding,Howard Hughes,Marshall Neilan,Luther Reed,James Whale,Howard R. HughesPierre Coffin,Chris Renaud","Samir KarnikMarshall Neilan,Harry Behn,Howard Estabrook,Joseph Moncure MarchCinco Paul,Ken Daurio"
our-daily-bread-city-girltt1453405,GhostCity GirlMonsters University,"13-Jan-12Feb 9, 1930 Wide21 June 2013 (USA)","Puja Jatinder BediF.W. Murnau,Friedrich Wilhelm MurnauDan Scanlon","Bharat ShahBerthold Viertel,Marion OrthDan Scanlon,Daniel Gerson"
1006234-draculatt0120363,Gali Gali Chor HaiDraculaToy Story 2,"03-Feb-12Jan 1, 1931 Wide24 November 1999 (USA)","Rumi JafferyTod BrowningJohn Lasseter,Ash Brannon","Prakash Chandani,Sanjay Punamiya,Nitin Manmohan,Vivay Jain,Jitendra Jain,Sangeetha AhirGarrett Fort,Garrett Elsden FortJohn Lasseter,Pete Docter"
1000642-all_quiet_on_the_western_fronttt1233219,"Chaalis ChauraasiAll Quiet on the Western FrontMy Son, My Son, What Have Ye Done","13-Jan-12Aug 24, 1930 Wide8 July 2010 (Portugal)",Hriday ShettyLewis MilestoneWerner Herzog,"Sachin Awasthee,Uday Shetty,Anuya MhaiskarErich Maria Remarque,Lewis Milestone,Maxwell Anderson,Del Andrews,George AbbottHerbert Golder,Werner Herzog"
1014137-monkey_businesstt1095217,BodyguardMonkey BusinessBad Lieutenant: Port of Call New Orleans,"31-Aug-11Sep 19, 1931 Wide11 December 2009 (USA)","SiddiqueNorman McLeod,Norman Z. McLeodWerner Herzog","Atul Agnihotri,Alvira AgnihotriArthur Sheekman,S.J. PerelmanWilliam M. Finkelstein,Victor Argo"
little_caesartt1074638,ReadyLittle CaesarSkyfall,"03-Jun-11Jan 25, 1931 Limited9 November 2012 (USA)",Anees BazmeeMervyn LeRoySam Mendes,"Krishan Kumar,Sohail Khan,Bhushan Kumar,Rajat Rawail,Nitin ManmohanW.R. Burnett,Francis Edward Faragoh,Francis Edwards Faragoh,Robert E. Lee,Robert LordNeal Purvis,Robert Wade"
night-call-nursestt0120611,Ra.OneNight Call NursesBlade,"26-Oct-11Jan 1, 1972 Wide21 August 1998 (USA)",Anubhav SinhaJonathan KaplanStephen Norrington,Gauri KhanGeorge ArmitageDavid S. Goyer
1035050-night_nursett1756529,Don 2Night NurseGet Lamp,"23-Dec-11Aug 8, 1931 Wide26 March 2010 (USA)","Farhan AkhtarWilliam Wellman,Igor AuzinsJason Scott Sadofsky","Farhan Akhtar,Ritesh SidhwaniOliver H.P. Garrett,Charles KenyonJason Scott Sadofsky"
last_flight_of_noahs_arktt0808299,The Dirty PictureThe Last Flight of Noah's ArkHigh Score,"02-Dec-11Jun 25, 1980 Wide11 March 2006 (USA)",Milan LuthriaCharles JarrottJeremy Mack,"Ekta Kapoor,Shobha KapoorGeorge Arthur Bloom,Steven W. Carabatsos,Sandy Glass"
1014138-monkey_businesstt3393786,RockstarMonkey BusinessJack Reacher 2,"11-Nov-11Sep 5, 1952 Wide21 October 2016 (USA)",Imtiaz AliHoward HawksEdward Zwick,"Dillion MehtaI. A. L. Diamond,Ben Hecht,Charles Lederer,I.A.L. DiamondLee Child,Marshall Herskovitz"
instinct_de_morttt0325710,Mere Brother Ki DulhanMesrine: Killer Instinct (L'instinct de mort)The Last Samurai,"09-Sep-11Aug 27, 2010 Limited5 December 2003 (USA)",Ali Abbas ZafarJean-François RichetEdward Zwick,"Yash Chopra,Aditya ChopraJean-François Richet,Abdel Raouf DafriJohn Logan,John Logan"
1030142-champtt0092099,Zindagi Na Milegi DobaraThe ChampTop Gun,"15-Jul-11Nov 21, 1931 Wide16 May 1986 (USA)",Zoya AkhtarKing VidorTony Scott,"Farhan Akhtar,Ritesh SidhwaniFrances Marion,Leonard Praskins,Wanda TuchockJim Cash,Jack Epps Jr."
resurrecting_the_champtt0120889,Delhi BellyResurrecting the ChampWhat Dreams May Come,"01-Jul-11Aug 24, 2007 Wide2 October 1998 (USA)",Abhinay DeoRod LurieVincent Ward,"Kiran Rao,Aamir Khan,Ronnie ScrewvalaMichael Bortman,Allison Burnett,Chris Gerolmo,Rod LurieRichard Matheson,Ronald Bass"
10008038-waterloo_bridgett0064418,"Yamla Pagla DeewanaWaterloo BridgeHello, Dolly!","14-Jan-11Sep 1, 1931 Wide16 December 1969 (USA)",Samir KarnikJames WhaleGene Kelly,"Nitin Manmohan,Samir KarnikBenn Wolfe Levy,Tom ReedMichael Stewart,Thornton Wilder"
im_crazy_about_iris_blond_1999tt0062994,Thank YouI'm Crazy About Iris BlondFunny Girl,"08-Apr-11May 14, 1999 Limited19 September 1968 (USA)",Anees BazmeeCarlo VerdoneWilliam Wyler,"Twinkle Khanna,Ronnie ScrewvalaCarlo Verdone,Pasquale Plastino,Francesa MarcianoIsobel Lennart,Isobel Lennart"
the-last-flighttt0034583,Double DhamaalThe Last FlightCasablanca,"24-Jun-11Feb 14, 2005 Wide23 January 1943 (USA)",Indra KumarDoron KipperMichael Curtiz,"Indra Kumar,Ashok ThakeriaJulius J. Epstein,Philip G. Epstein"
1003854-champtt0062622,Murder 2The Champ2001: A Space Odyssey,"08-Jul-11Mar 20, 1979 Wide15 May 1968 (UK)",Mohit SuriFranco ZeffirelliStanley Kubrick,"Mukesh BhattWalter NewmanStanley Kubrick,Arthur C. Clarke"
waterloo_bridgett0180093,AarakshanWaterloo BridgeRequiem for a Dream,"12-Aug-11May 17, 1940 Wide15 December 2000 (USA)","Prakash JhaMervyn LeRoy,Mervyn Le RoyDarren Aronofsky","Prakash Jha,Firoz NadiadwalaHans Rameau,S.N. Behrmann,George FroeschelHubert Selby Jr.,Hubert Selby Jr."
10002692-smart_moneytt0090756,Desi BoyzSmart MoneyBlue Velvet,"25-Nov-11Jul 11, 1931 Wide30 October 1986 (Argentina)","Rohit DhawanEdward G. Robinson,James Cagney,Margaret Livingston,Ralf Harolde,Noel Francis,Evalyn Knapp,Alfred E. GreenDavid Lynch","Vijay Ahuja,Krishika Lulla,Jyoti DeshpandeJoe Jackson,Joe Jackson,John Bright,Kubec Glasmon,Lucien HubbardDavid Lynch"
blonde_crazytt0120663,Patiala HouseBlonde CrazyEyes Wide Shut,"11-Feb-11Jan 1, 1931 Wide16 July 1999 (USA)",Nikhil AdvaniRoy Del RuthStanley Kubrick,"Krishan Kumar,Zoeb Springwala,Mukesh Talreja,Twinkle Khanna,Bhushan KumarKubec Glasmon,John BrightStanley Kubrick,Frederic Raphael"
1016885-public_enemytt0056193,RascalsThe Public EnemyLolita,"06-Oct-11Apr 23, 1931 Wide12 June 1962 (USA)",David DhawanWilliam WellmanStanley Kubrick,"Vinay Choksey,Sanjay Ahluwalia,Sanjay DuttKubec Glasmon,John Bright,Harvey ThewVladimir Nabokov,Vladimir Nabokov"
free_soultt0022458,MausamA Free SoulTabu: A Story of the South Seas,"23-Sep-11Jun 20, 1931 Wide19 March 1931 (USA)",Pankaj KapoorClarence BrownF.W. Murnau,"Sunil Lulla,Sheetal Vinod TalwarJohn Meehan,Adela Rogers St. JohnF.W. Murnau,Robert J. Flaherty"
illicit_behaviortt2490326,No One Killed JessicaIllicit BehaviorCooties,"07-Jan-11Jun 1, 1991 Wide18 September 2015 (USA)","Raj Kumar GuptaWorth KeeterJonathan Milott,Cary Murnion","Ronnie ScrewvalaLeigh Whannell,Ian Brennan"
1046579-cimarrontt0923752,Dhobi GhatCimarronThe King of Kong: A Fistful of Quarters,"21-Jan-11Dec 1, 1960 Wide28 February 2008 (Australia)","Kiran RaoCharles Walters,Anthony MannSeth Gordon","Aamir Khan,Kiran RaoArnold SchulmanSeth Gordon"
